Incident Date,Incident Type Code,Incident Type,Apparatus Name,Priority,District Name,Station,City,Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLE7,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLB1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLL4,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLOPS1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLM2,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLE1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLL2,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-17 15:53:34-06:00,141,"Forest, woods or wildland fire",SLE3,Non-Emergent,S3S2,Sugar Land Fire Station 3,SUGAR LAND,A Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLL2,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLE7,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLB1,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLE5,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLE6,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLM6,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,SLL4,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-19 18:25:37-06:00,111,Building fire,RE42,,S605,Sugar Land Fire Station 6,ETJ AREA,B Shift
2023-01-21 08:00:43-06:00,141,"Forest, woods or wildland fire",SLE3,Non-Emergent,S3S2,Sugar Land Fire Station 3,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLB1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLE6,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLE5,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLE3,Emergent Downgraded to Non-Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLE7,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLM4,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLL4,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLL2,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-21 09:17:57-06:00,111,Building fire,SLOPS1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-23 00:06:19-06:00,111,Building fire,SLB1,Emergent,STAFFORD,Sugar Land Fire Station 2,STAFFORD,A Shift
2023-01-23 00:06:19-06:00,111,Building fire,SLL2,Emergent,STAFFORD,Sugar Land Fire Station 2,STAFFORD,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLE5,Non-Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLOPS1,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLE7,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLL4,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLM7,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLB1,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-23 00:50:15-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLL2,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLE1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLL2,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLL4,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLM1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLB1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLE3,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLOPS1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLE7,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-24 15:02:27-06:00,111,Building fire,SLM2,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-25 18:38:20-06:00,114,"Chimney or flue fire, confined to chimney or flue",SLL4,Non-Emergent,S401,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLB1,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLL4,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLM2,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLOPS1,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLE1,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLE7,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLL2,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 04:35:23-06:00,160,"Special outside fire, other",SLM1,Emergent,S102,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-26 16:10:41-06:00,131,Passenger vehicle fire,SLL2,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-26 16:10:41-06:00,131,Passenger vehicle fire,SLOPS1,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-26 16:10:41-06:00,131,Passenger vehicle fire,SLE7,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-26 16:10:41-06:00,131,Passenger vehicle fire,SLB1,Non-Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLB1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLE7,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLL4,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLM2,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLOPS1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLL2,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLE1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,SLM1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-27 08:20:26-06:00,111,Building fire,FD01,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,C Shift
2023-01-28 04:44:42-06:00,131,Passenger vehicle fire,SLE3,Emergent,S205,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-28 04:44:42-06:00,131,Passenger vehicle fire,SLL2,Emergent,S205,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-28 04:44:42-06:00,131,Passenger vehicle fire,SLM1,Emergent,S205,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLOPS1,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLM7,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLL4,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLE7,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLE3,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLE5,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-04 17:33:58-06:00,162,Outside equipment fire,SLB1,Emergent,S501,Sugar Land Fire Station 5,SUGAR LAND,A Shift
2023-02-05 17:28:56-06:00,111,Building fire,SLB1,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,B Shift
2023-02-05 17:28:56-06:00,111,Building fire,SLE3,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,B Shift
2023-02-05 15:45:59-06:00,151,"Outside rubbish, trash or waste fire",SLE1,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-02-09 17:58:40-06:00,130,"Mobile property (vehicle) fire, other",SLE6,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,A Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLE5,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLE3,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLB1,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLL2,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLE7,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLM2,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-12 11:30:33-06:00,113,"Cooking fire, confined to container",SLOPS1,Emergent,S3M2,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-02-14 17:58:46-06:00,141,"Forest, woods or wildland fire",SLE5,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,C Shift
2023-02-17 18:26:54-06:00,111,Building fire,SLL4,Emergent,S3S1,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-02-17 18:26:54-06:00,111,Building fire,SLE5,Emergent,S3S1,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-02-17 18:26:54-06:00,111,Building fire,SLB1,Emergent,S3S1,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-02-17 18:26:54-06:00,111,Building fire,SLM4,Non-Emergent,S3S1,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLE6,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLL4,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLM7,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLB1,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLE5,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLE1,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLOPS1,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLM6,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,SLE7,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-17 20:18:32-06:00,111,Building fire,FD03,Emergent,S701,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-18 14:43:52-06:00,130,"Mobile property (vehicle) fire, other",SLE7,Emergent,S707,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-18 14:43:52-06:00,130,"Mobile property (vehicle) fire, other",SLOPS1,Emergent,S707,Sugar Land Fire Station 7,SUGAR LAND,B Shift
2023-02-21 07:07:47-06:00,111,Building fire,SLE6,Emergent,ROSENBERG,Sugar Land Fire Station 6,ROSENBERG,A Shift
2023-02-21 07:07:47-06:00,111,Building fire,SLOPS1,Emergent,ROSENBERG,Sugar Land Fire Station 6,ROSENBERG,A Shift
2023-03-01 15:54:39-06:00,111,Building fire,SLL2,Emergent,RICHMOND,Sugar Land Fire Station 6,Richmond,B Shift
2023-03-01 15:54:39-06:00,111,Building fire,SLB1,Emergent,RICHMOND,Sugar Land Fire Station 6,Richmond,B Shift
2023-03-01 15:54:39-06:00,111,Building fire,SLE6,Emergent,RICHMOND,Sugar Land Fire Station 6,Richmond,B Shift
2023-03-01 15:54:39-06:00,111,Building fire,FD03,Emergent,RICHMOND,Sugar Land Fire Station 6,Richmond,B Shift
2023-03-01 15:54:39-06:00,111,Building fire,FD02,Emergent,RICHMOND,Sugar Land Fire Station 6,Richmond,B Shift
2023-03-03 15:06:20-06:00,131,Passenger vehicle fire,SLE3,Emergent,S3M2,Sugar Land Fire Station 3,SUGAR LAND,C Shift
2023-03-03 15:06:20-06:00,131,Passenger vehicle fire,SLL2,Emergent,S3M2,Sugar Land Fire Station 3,SUGAR LAND,C Shift
2023-03-05 11:03:45-06:00,154,Dumpster or other outside trash receptacle fire,SLE7,Emergent,S702,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-05 13:32:06-06:00,131,Passenger vehicle fire,SLL2,Emergent,S202,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-05 14:21:37-06:00,143,Grass fire,SLE7,Emergent,S707,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-05 14:54:19-06:00,111,Building fire,SLB1,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,A Shift
2023-03-05 14:54:19-06:00,111,Building fire,SLE3,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,A Shift
2023-03-05 14:54:19-06:00,111,Building fire,SLOPS1,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLE1,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLB1,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLE3,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLL2,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLL4,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLM4,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLOPS1,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLM1,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 18:23:55-06:00,113,"Cooking fire, confined to container",SLE7,Emergent,S101,Sugar Land Fire Station 1,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLB1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLE3,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLM7,Non-Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLE7,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLE1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLL2,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLOPS1,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,FD02,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-06 13:13:55-06:00,111,Building fire,SLB2,Non-Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-07 20:27:42-06:00,111,Building fire,SLL2,Emergent,PECAN GROVE,Sugar Land Fire Station 2,FORT BEND COUNTY,B Shift
2023-03-07 20:27:42-06:00,111,Building fire,FD03,Emergent,PECAN GROVE,Sugar Land Fire Station 2,FORT BEND COUNTY,B Shift
2023-03-07 20:27:42-06:00,111,Building fire,SLB1,Emergent,PECAN GROVE,Sugar Land Fire Station 2,FORT BEND COUNTY,B Shift
2023-03-07 17:35:52-06:00,111,Building fire,SLB1,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,B Shift
2023-03-07 17:35:52-06:00,111,Building fire,SLE3,Emergent,MISSOURI CITY,Sugar Land Fire Station 3,MISSOURI CITY,B Shift
2023-03-07 10:15:51-06:00,141,"Forest, woods or wildland fire",SLE6,Non-Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,B Shift
2023-03-07 10:15:51-06:00,141,"Forest, woods or wildland fire",SLE5,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,B Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLOPS1,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLE5,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLL4,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLM4,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLE7,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLB1,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 18:39:23-06:00,118,"Trash or rubbish fire, contained",SLE6,Emergent,S605,Sugar Land Fire Station 6,ETJ AREA,C Shift
2023-03-09 22:15:07-06:00,111,Building fire,SLOPS1,Emergent,STAFFORD,Sugar Land Fire Station 3,MISSOURI CITY,C Shift
2023-03-09 22:15:07-06:00,111,Building fire,SLB1,Emergent,STAFFORD,Sugar Land Fire Station 3,MISSOURI CITY,C Shift
2023-03-09 22:15:07-06:00,111,Building fire,SLE3,Emergent,STAFFORD,Sugar Land Fire Station 3,MISSOURI CITY,C Shift
2023-03-11 14:44:06-06:00,143,Grass fire,SLL2,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-12 16:30:20-06:00,151,"Outside rubbish, trash or waste fire",SLL2,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLB1,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLE5,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLL4,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLM1,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLOPS1,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLE1,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-12 18:41:53-06:00,140,"Natural vegetation fire, other",SLE7,Emergent,S705,Sugar Land Fire Station 7,SUGAR LAND,A Shift
2023-03-13 19:33:56-05:00,141,"Forest, woods or wildland fire",SLE5,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,B Shift
2023-03-13 19:33:56-05:00,141,"Forest, woods or wildland fire",SLB1,Non-Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,B Shift
2023-03-13 19:33:56-05:00,141,"Forest, woods or wildland fire",SLE6,Emergent,S503,Sugar Land Fire Station 5,SUGAR LAND,B Shift
2023-03-14 13:46:27-05:00,140,"Natural vegetation fire, other",SLL4,Emergent,S402,Sugar Land Fire Station 4,SUGAR LAND,B Shift
2023-03-15 17:20:04-05:00,140,"Natural vegetation fire, other",SLE3,Non-Emergent,S3S2,Sugar Land Fire Station 3,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLOPS1,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLE5,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLL4,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLB1,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLE7,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLM6,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-16 18:20:21-05:00,113,"Cooking fire, confined to container",SLE6,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,C Shift
2023-03-21 11:33:01-05:00,111,Building fire,SLB1,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-03-21 11:33:01-05:00,111,Building fire,SLE7,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-03-21 11:33:01-05:00,111,Building fire,SLE5,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-03-21 11:33:01-05:00,111,Building fire,SLOPS1,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-03-21 11:33:01-05:00,111,Building fire,SLM2,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,C Shift
